1	29/09/2019	15:30	ISSY BASKET CLUB - 1	STADE MULTISPORTS MONTROUGE - 2	52 - 46	plan
2	28/09/2019	20:30	SURESNES BASKET CLUB - 1	CLICHY BASKET ACADEMY	56 - 76	plan
3	28/09/2019	20:30	AAE GARENNE COLOMBES	COM BAGNEUX - 1	73 - 75	plan
4	29/09/2019	16:00	JSF NANTERRE - 2	USM MALAKOFF - 2	67 - 54	plan
5	29/09/2019	17:30	ESPERANCE DE BOURG LA REINE - 2	COURBEVOIE SPORTS BASKET - 2	71 - 58	plan
6	28/09/2019	20:30	ASNIERES BASKETBALL - 2	ANTONY BASKET - 1	52 - 56	plan
7	05/10/2019	20:30	CLICHY BASKET ACADEMY	ISSY BASKET CLUB - 1	81 - 62	plan
8	05/10/2019	20:30	COM BAGNEUX - 1	SURESNES BASKET CLUB - 1	54 - 36	plan
9	06/10/2019	17:30	USM MALAKOFF - 2	AAE GARENNE COLOMBES	60 - 85	plan
10	06/10/2019	15:30	COURBEVOIE SPORTS BASKET - 2	JSF NANTERRE - 2	52 - 81	plan
11	05/10/2019	20:30	ANTONY BASKET - 1	ESPERANCE DE BOURG LA REINE - 2	75 - 63	plan
12	05/10/2019	18:00	STADE MULTISPORTS MONTROUGE - 2	ASNIERES BASKETBALL - 2	68 - 70	plan
13	13/10/2019	15:30	ISSY BASKET CLUB - 1	COM BAGNEUX - 1	87 - 64	plan
14	12/10/2019	20:30	SURESNES BASKET CLUB - 1	USM MALAKOFF - 2	46 - 64	plan
15	12/10/2019	20:30	AAE GARENNE COLOMBES	COURBEVOIE SPORTS BASKET - 2	95 - 74	plan
16	13/10/2019	16:00	JSF NANTERRE - 2	ANTONY BASKET - 1	71 - 62	plan
17	13/10/2019	17:30	ESPERANCE DE BOURG LA REINE - 2	ASNIERES BASKETBALL - 2	59 - 63	plan
18	12/10/2019	20:30	CLICHY BASKET ACADEMY	STADE MULTISPORTS MONTROUGE - 2	80 - 53	plan
19	10/11/2019	17:30	USM MALAKOFF - 2	ISSY BASKET CLUB - 1	60 - 58	plan
20	13/11/2019	21:00	SURESNES BASKET CLUB - 1	COURBEVOIE SPORTS BASKET - 2	43 - 53	plan
21	09/11/2019	20:30	ANTONY BASKET - 1	AAE GARENNE COLOMBES	52 - 75	plan
22	09/11/2019	20:30	ASNIERES BASKETBALL - 2	JSF NANTERRE - 2	70 - 65	plan
23	10/11/2019	17:30	STADE MULTISPORTS MONTROUGE - 2	ESPERANCE DE BOURG LA REINE - 2	67 - 77	plan
24	09/11/2019	20:30	COM BAGNEUX - 1	CLICHY BASKET ACADEMY	92 - 69	plan
25	17/11/2019	15:30	ISSY BASKET CLUB - 1	COURBEVOIE SPORTS BASKET - 2	72 - 85	plan
26	20/11/2019	21:00	SURESNES BASKET CLUB - 1	ANTONY BASKET - 1	53 - 57	plan
27	16/11/2019	20:30	AAE GARENNE COLOMBES	ASNIERES BASKETBALL - 2	71 - 62	plan
28	17/11/2019	16:00	JSF NANTERRE - 2	ESPERANCE DE BOURG LA REINE - 2	78 - 59	plan
29	16/11/2019	20:30	CLICHY BASKET ACADEMY	USM MALAKOFF - 2	103 - 43	plan
30	16/11/2019	20:30	COM BAGNEUX - 1	STADE MULTISPORTS MONTROUGE - 2	79 - 65	plan
31	23/11/2019	20:30	ANTONY BASKET - 1	ISSY BASKET CLUB - 1	79 - 50	plan
32	23/11/2019	20:30	ASNIERES BASKETBALL - 2	SURESNES BASKET CLUB - 1	52 - 42	plan
33	24/11/2019	17:30	ESPERANCE DE BOURG LA REINE - 2	AAE GARENNE COLOMBES	62 - 54	plan
34	23/11/2019	20:30	STADE MULTISPORTS MONTROUGE - 2	JSF NANTERRE - 2	69 - 72	plan
35	24/11/2019	15:30	COURBEVOIE SPORTS BASKET - 2	CLICHY BASKET ACADEMY	81 - 74	plan
36	23/11/2019	20:30	COM BAGNEUX - 1	USM MALAKOFF - 2	66 - 71	plan
37	01/12/2019	15:30	ISSY BASKET CLUB - 1	ASNIERES BASKETBALL - 2	74 - 60	plan
38	30/11/2019	20:30	SURESNES BASKET CLUB - 1	ESPERANCE DE BOURG LA REINE - 2	41 - 50	plan
39	30/11/2019	20:30	AAE GARENNE COLOMBES	JSF NANTERRE - 2	67 - 49	plan
40	30/11/2019	20:30	CLICHY BASKET ACADEMY	ANTONY BASKET - 1	82 - 63	plan
41	30/11/2019	20:30	COM BAGNEUX - 1	COURBEVOIE SPORTS BASKET - 2	63 - 68	plan
42	01/12/2019	17:30	USM MALAKOFF - 2	STADE MULTISPORTS MONTROUGE - 2	78 - 63	plan
